Time,T_1_1,T_1_2,T_1_3,T_1_4,T_1_5,T_2_1,T_2_2,T_2_3,T_2_4,T_2_5,T_3_1,T_3_2,T_3_3,T_3_4,T_3_5,Place Holder,T_4_1,T_4_2,T_4_3,T_4_4,T_4_5,T_5_1,T_5_2,T_5_3,T_5_4,T_5_5,T_top,T_bot,T_N,T_S,T_E,T_W
7/1/2024 12:29:05 PM,22.739360,22.091546,21.788252,21.857074,21.733923,22.893022,22.413725,22.201263,22.177114,22.171364,22.609547,22.207243,21.818176,21.876407,21.648735,-56658.805473,22.572813,22.382954,22.154147,22.045569,21.964119,22.969524,22.059603,21.994492,21.995872,21.536389,25.275651,23.481287,23.423942,23.239244,22.983071,23.658095
7/1/2024 12:29:35 PM,22.680111,22.160348,21.948692,21.834312,21.758811,22.768789,22.405704,21.999774,22.014730,22.117794,22.629563,22.262231,21.860090,21.839376,21.744308,-56653.104380,22.449933,22.441198,22.112136,22.006769,21.996185,23.010247,22.024946,21.763047,21.839238,21.535551,25.271849,23.461185,23.389385,23.209723,22.914267,23.643962
7/1/2024 12:30:05 PM,23.054624,22.344709,22.270440,21.918246,21.691056,22.670622,22.218007,22.161658,22.089660,22.261011,22.697273,22.093111,21.836314,21.776006,21.777387,-56646.596617,22.393379,22.396827,22.077857,21.973172,21.941878,22.888083,21.946480,22.035756,21.868925,21.503072,25.230714,23.431362,23.393511,23.220046,22.902092,23.655193
7/1/2024 12:30:35 PM,23.083912,22.316332,21.978899,21.885700,21.610138,22.635600,22.260225,22.314952,22.101755,22.099225,22.750934,22.176282,21.738386,21.684742,21.822637,-56641.559183,22.362361,22.386271,22.106171,21.981245,21.972502,22.671030,22.065223,21.709423,21.792758,21.496182,25.240102,23.424729,23.360265,23.222131,22.889021,23.627239
7/1/2024 12:31:05 PM,22.891934,22.300898,21.840563,21.686787,21.562901,22.733448,22.280203,22.083324,21.992907,21.896720,22.540895,22.008323,21.614486,21.702443,21.557834,-56638.504056,22.397836,22.403123,22.052410,21.960606,21.984537,22.858087,22.112912,21.885585,21.716399,21.476673,25.219605,23.404382,23.332803,23.237347,22.863369,23.605526
7/1/2024 12:31:35 PM,22.713271,22.127072,21.802624,21.533001,21.542444,22.762663,22.306227,22.089806,21.954061,21.849119,22.354512,22.014346,21.699721,21.512733,21.401703,-56632.611317,22.393717,22.357622,22.041846,21.940146,21.980184,22.766689,21.866733,21.920355,21.828065,21.442139,25.201799,23.391096,23.282573,23.235760,22.854891,23.604399
7/1/2024 12:32:05 PM,22.446439,22.117611,21.868423,21.801904,21.617491,22.672117,22.249400,21.977962,21.950580,21.976122,22.499077,22.049518,21.772210,21.666536,21.469631,-56629.212046,22.328466,22.333984,21.990812,21.907971,21.919478,22.611421,21.814758,21.885418,21.754448,21.428591,25.199099,23.373474,23.275732,23.244982,22.874456,23.592747
7/1/2024 12:32:35 PM,23.041029,22.424434,21.778028,21.697222,21.545011,22.769128,22.145967,22.018751,22.001725,21.953404,22.517526,22.114914,21.787926,21.772503,21.447119,-56623.619946,22.344264,22.278963,21.965895,21.890645,21.921483,22.378751,21.891566,21.799731,21.690380,21.427834,25.155610,23.364690,23.301136,23.162296,22.836724,23.563328
7/1/2024 12:33:05 PM,22.817118,22.162280,22.029777,21.761896,21.576315,22.616098,22.012751,21.981229,21.942341,22.050253,22.362805,21.949935,21.732199,21.623983,21.553976,-56619.092723,22.306973,22.239367,21.916377,21.838357,21.876333,22.518928,21.978278,21.781273,21.739375,21.527069,25.142082,23.332069,23.221466,23.140908,22.801309,23.560075
7/1/2024 12:33:35 PM,22.780067,22.216950,21.889802,21.578778,21.504848,22.526173,22.112986,21.979549,21.892794,21.835256,22.318820,21.668815,21.630131,21.542391,21.289440,-56613.915598,22.294061,22.300269,21.956152,21.863409,21.883662,22.716967,21.912660,21.661520,21.659218,21.485113,25.137704,23.317349,23.240249,23.195497,22.760845,23.557975
7/1/2024 12:34:05 PM,22.755967,22.086551,21.770593,21.759543,21.438297,22.735981,22.175340,22.088162,22.069297,21.994294,22.492406,21.892353,21.721558,21.677123,21.388997,-56608.806991,22.320111,22.317122,21.942873,21.870151,21.928605,22.061137,21.729968,21.831023,21.523876,21.452241,25.092741,23.291488,23.258444,23.105590,22.776303,23.543595
7/1/2024 12:34:35 PM,22.844491,21.892444,21.825008,21.688726,21.620570,22.709882,22.068238,21.965623,21.857231,21.810737,22.587644,21.945834,21.761476,21.651195,21.547107,-56606.122752,22.196850,22.200530,21.942411,21.811917,21.772325,22.385635,21.795804,21.465139,21.592044,21.373681,25.053650,23.285290,23.186612,23.067482,22.738398,23.518365
7/1/2024 12:35:05 PM,22.966623,22.093505,21.805634,21.686615,21.483959,22.527623,22.112828,21.954769,21.936590,21.947866,22.469703,21.892635,21.708948,21.719538,21.510908,-56600.707390,22.203232,22.219101,21.938211,21.804263,21.773418,22.644142,22.021966,21.761447,21.703432,21.263943,25.084224,23.266646,23.159471,23.030233,22.729610,23.525647
7/1/2024 12:35:35 PM,22.762777,21.933695,21.715951,21.645496,21.557759,22.530018,22.111774,21.941519,21.878002,21.976035,22.758871,22.066915,21.750944,21.753246,21.562134,-56597.631378,22.246609,22.201533,21.936742,21.830645,21.753532,22.541794,21.902683,21.637032,21.451632,21.325610,25.004580,23.258526,23.163055,23.020272,22.725846,23.525329
7/1/2024 12:36:05 PM,22.233737,22.007619,21.784845,21.589371,21.572329,22.486410,22.049492,21.927083,21.823746,22.019813,22.573285,21.811777,21.716243,21.911894,21.464077,-56593.712563,22.259219,22.188385,21.968228,21.896661,21.809891,22.770374,22.051978,21.748429,21.533593,21.426484,24.950125,23.253669,23.157279,23.046636,22.685373,23.515199
7/1/2024 12:36:35 PM,22.546983,22.065264,21.801546,21.677460,21.675618,22.624886,22.160497,22.067794,22.008666,22.050770,22.682328,22.054451,21.909950,21.891079,21.672625,-56591.577240,22.444543,22.373737,22.078217,22.003445,21.995622,22.753387,22.188167,21.776065,21.670853,21.621578,25.052792,23.264007,23.192407,23.053994,22.697102,23.526679
7/1/2024 12:37:05 PM,23.460780,22.601445,22.214773,22.023389,22.058359,22.956572,22.418034,22.218913,22.185104,22.131512,23.153775,22.418723,22.130362,22.066411,21.895219,-56588.873623,22.765149,22.506420,22.170734,22.026730,22.023969,22.945900,22.706569,22.153944,22.010394,21.815704,24.969390,23.274610,23.304669,23.094215,22.785593,23.498515
7/1/2024 12:37:35 PM,23.417498,22.959859,22.450519,22.298322,22.210246,23.467274,22.952282,22.678492,22.542227,22.545444,23.266301,22.686993,22.270958,22.202886,22.219445,-56588.102824,23.306894,22.891635,22.583111,22.130182,22.111320,23.655530,23.161170,22.379232,22.237361,22.006183,24.981668,23.313548,23.336262,23.132020,22.875559,23.516106
7/1/2024 12:38:05 PM,24.406394,24.297188,23.665953,23.175047,22.521397,24.463163,24.013408,23.356100,22.781036,22.713268,24.549218,24.135278,23.404965,22.838459,22.322779,-56588.169947,24.073501,23.563755,22.897094,22.324919,22.271803,24.489325,23.609848,22.929703,22.468603,22.187862,25.063233,23.349975,23.435774,23.168462,23.020629,23.553665
