Time,T_1_1,T_1_2,T_1_3,T_1_4,T_1_5,T_2_1,T_2_2,T_2_3,T_2_4,T_2_5,T_3_1,T_3_2,T_3_3,T_3_4,T_3_5,T_4_1,T_4_2,T_4_3,T_4_4,T_4_5,T_5_1,T_5_2,T_5_3,T_5_4,T_5_5,T_top,T_bot,T_N,T_S,T_E,T_W
6/20/2024 2:18:11 PM,24.185636,23.814930,23.578561,23.310871,23.280583,23.866498,23.748227,23.661338,23.602181,23.448979,24.058282,23.496458,23.234458,23.295039,22.990222,-56647.309404,23.851049,23.752030,23.656888,23.576862,23.512878,23.539023,23.474575,23.490630,23.325691,23.150136,24.235696,23.563561,23.506456,23.413559,25.483023,23.498887
6/20/2024 2:18:41 PM,23.861171,23.483787,23.296818,23.074653,23.090034,23.670224,23.595933,23.522778,23.398456,23.214207,23.773845,23.456951,23.062486,23.002795,22.801853,-56648.576269,23.645493,23.576014,23.433356,23.337691,23.338379,23.300062,23.245679,23.327825,23.273904,23.018898,24.228209,23.582435,23.490241,23.420969,25.399947,23.492764
6/20/2024 2:19:11 PM,23.677015,23.315087,23.185202,23.084666,22.907644,23.574290,23.449523,23.323117,23.293977,23.079157,23.608458,22.955407,22.751689,22.840583,22.677254,-56648.459108,23.419401,23.390037,23.215424,23.140603,23.192933,23.306066,23.077018,23.121322,23.107779,22.727725,24.212216,23.566650,23.446698,23.405407,25.345156,23.469177
6/20/2024 2:19:41 PM,23.512827,23.049771,22.711026,22.612457,22.734689,23.394238,23.224446,23.131952,23.099128,23.013727,23.695126,22.988471,22.689889,22.640261,22.485827,-56650.032952,23.288159,23.243183,23.100424,23.022370,23.077927,23.042114,22.867142,22.984716,22.808345,22.565267,24.196863,23.553110,23.464351,23.388881,25.218332,23.457699
6/20/2024 2:20:11 PM,23.577360,22.807826,22.480400,22.370977,22.491663,23.279380,22.966977,22.958711,22.789221,22.810353,23.475302,22.767628,22.424083,22.519243,22.299701,-56648.133815,23.135754,23.096962,22.927062,22.851047,22.893994,22.764223,22.787423,22.788342,22.570304,22.411939,24.185622,23.536350,23.441394,23.356285,25.149065,23.437036
6/20/2024 2:20:41 PM,23.304168,22.783714,22.344774,22.293729,22.364546,23.321606,22.920828,22.840218,22.692742,22.556022,23.177953,22.691823,22.251187,22.225430,22.274873,-56646.757937,23.042419,22.992138,22.834834,22.744331,22.788666,22.631293,22.545118,22.666908,22.533627,22.374100,24.154796,23.512592,23.447222,23.341695,25.087671,23.401114
6/20/2024 2:21:11 PM,23.151523,22.585402,22.575290,22.476923,22.338070,23.039501,22.931586,22.795853,22.671340,22.461982,23.129717,22.518754,22.232754,22.196647,22.219415,-56646.602768,22.972493,22.868696,22.698715,22.679186,22.707445,22.546368,22.416502,22.532349,22.521547,22.144471,24.138406,23.495262,23.342025,23.327112,24.909439,23.393415
6/20/2024 2:21:41 PM,22.977122,22.617414,22.303882,22.187748,22.150258,23.100866,22.810165,22.720117,22.568467,22.540200,23.054035,22.466880,22.317908,22.145427,22.002795,-56646.076954,22.871400,22.846825,22.647196,22.591588,22.571595,22.499890,22.311611,22.528619,22.237336,22.032616,24.124839,23.460116,23.287823,23.303197,24.880801,23.365374
6/20/2024 2:22:11 PM,22.867872,22.407171,22.468088,22.294052,22.241162,23.060751,22.695593,22.549680,22.494061,22.345327,23.156013,22.519573,22.038746,22.067503,22.088208,-56642.105474,22.723497,22.778400,22.522207,22.417851,22.475319,22.331407,22.214131,22.208611,22.198951,21.927025,24.093480,23.402103,23.236444,23.285093,24.826850,23.322034
6/20/2024 2:22:41 PM,22.862690,22.410720,22.021591,22.124654,22.022051,23.031235,22.561731,22.451178,22.365430,22.217805,23.036745,22.196187,22.074965,21.870636,21.961997,-56640.848203,22.650655,22.660765,22.402668,22.308633,22.490708,22.215730,22.244017,22.262644,22.002258,21.787769,24.059796,23.385805,23.207288,23.281640,24.714756,23.321106
6/20/2024 2:23:11 PM,22.629530,22.481988,22.106950,22.125353,21.967988,22.904956,22.382911,22.211834,22.095908,22.123972,22.720514,22.172506,21.846708,21.771439,21.719872,-56636.571400,22.617540,22.630408,22.355282,22.236171,22.301019,22.322173,22.099088,22.210874,22.047326,21.738249,24.032507,23.332552,23.179492,23.266239,24.652958,23.318326
6/20/2024 2:23:41 PM,22.648574,22.093811,21.798344,22.085529,21.886497,22.811683,22.415299,22.228366,22.071496,21.967501,22.826383,22.173858,21.861411,21.903528,21.761053,-56634.450904,22.556314,22.583892,22.304139,22.210545,22.297701,22.084726,22.017548,22.125903,21.828155,21.701083,24.017975,23.302166,23.124536,23.197065,24.653088,23.286563
